trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-167.28988416141556,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-35.34898250750589,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-20.665695881235756,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-72.51746104787395,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-17.50337321780689,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,14,-16.012254082059474,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-127.51822594786611,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-237.9253700669479,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,8,-22.970075563935346,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-162.4512098083694,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-41.27539823526881,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-97.24689840433005,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-107.94932491829644,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-45.138323704264984,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-55.73688951270603,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,1.8892274975910481,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,14,-30.45552616918733,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,8.522678000545977,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,18.074730135783245,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,14,14.999712307434457,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,26.830198162043637,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-78.09156588501477,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,8,-45.69253258540408,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",30,9,-16.860706423787473,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,0,-26.09980340822645,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,2,23.15346319929235,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-39.14355820030713,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,6,8.928527653775333,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,0,-151.34315686939829,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",20,0,-84.34388532300085,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
