trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9995001249791693}",30,0,-77.09323822471409,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.999000499833375}",20,11,7.066314435697339,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.1, 'e': 0.9985011244377109}",25,0,-111.76548131853103,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.1, 'e': 0.9980019986673331}",20,0,-214.45152970040687,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 4}",0
5,False,"{'a': 0.1, 'e': 0.9975031223974601}",20,0,-97.9852756291463,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
6,False,"{'a': 0.1, 'e': 0.997004495503373}",20,0,-149.39734313577705,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.1, 'e': 0.9965061178604149}",25,0,-143.76331899159007,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.9960079893439915}",20,0,-67.35647493272216,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.9955101098295706}",25,0,-89.5553569276059,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.9950124791926823}",20,7,-114.2025786889155,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 2}",1
11,False,"{'a': 0.1, 'e': 0.9945150973089191}",20,0,-103.46820432369883,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.9940179640539353}",25,0,-154.73860943919848,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.1, 'e': 0.9935210793034477}",25,0,-110.91045876874293,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.1, 'e': 0.9930244429332351}",20,0,-130.27836016133952,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.1, 'e': 0.9925280548191384}",20,0,-121.99100286732782,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.9920319148370607}",25,0,-145.13568631056523,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.1, 'e': 0.9915360228629667}",35,0,-158.8072023864441,"{0: 24, 1: 3, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.1, 'e': 0.9910403787728836}",25,0,-117.39842262797343,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.9905449824429005}",30,0,-188.4043138348262,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
20,False,"{'a': 0.1, 'e': 0.9900498337491681}",20,0,-100.0600898071087,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.1, 'e': 0.9895549325678993}",20,0,-148.3564183103393,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
22,False,"{'a': 0.1, 'e': 0.9890602787753687}",35,0,-213.1601369499334,"{0: 18, 1: 4, 2: 9, 3: 2, 4: 2}",0
23,False,"{'a': 0.1, 'e': 0.988565872247913}",20,6,-38.76935083121738,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
24,False,"{'a': 0.1, 'e': 0.9880717128619305}",25,0,-62.11176654999619,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
25,False,"{'a': 0.1, 'e': 0.9875778004938814}",30,0,-321.80820440778626,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 6}",0
26,False,"{'a': 0.1, 'e': 0.9870841350202876}",20,0,-59.49377160135323,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.1, 'e': 0.9865907163177327}",20,0,-111.91817776825086,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
28,False,"{'a': 0.1, 'e': 0.9860975442628619}",25,0,-268.89221974522883,"{0: 7, 1: 1, 2: 13, 3: 1, 4: 3}",0
29,False,"{'a': 0.1, 'e': 0.9856046187323824}",20,0,-72.89064887929936,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",1
30,False,"{'a': 0.1, 'e': 0.9851119396030626}",20,0,-30.490468307228785,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.1, 'e': 0.9846195067517329}",25,0,-238.20150233857993,"{0: 10, 1: 6, 2: 2, 3: 4, 4: 3}",0
32,False,"{'a': 0.1, 'e': 0.9841273200552851}",25,0,-161.8857977823333,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",1
33,False,"{'a': 0.1, 'e': 0.9836353793906724}",20,0,-87.13336264611826,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
34,False,"{'a': 0.1, 'e': 0.9831436846349096}",35,0,-118.78330431751584,"{0: 23, 1: 6, 2: 3, 3: 2, 4: 1}",0
35,False,"{'a': 0.1, 'e': 0.9826522356650732}",20,0,-157.68535857484204,"{0: 9, 1: 6, 2: 2, 3: 0, 4: 3}",0
36,False,"{'a': 0.1, 'e': 0.9821610323583008}",25,0,-227.99038396381394,"{0: 14, 1: 0, 2: 6, 3: 1, 4: 4}",0
37,False,"{'a': 0.1, 'e': 0.9816700745917915}",30,0,-137.16005291033431,"{0: 19, 1: 6, 2: 1, 3: 2, 4: 2}",0
38,False,"{'a': 0.1, 'e': 0.981179362242806}",25,0,-98.83466393835204,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
39,False,"{'a': 0.1, 'e': 0.9806888951886662}",35,0,-190.10131252217863,"{0: 19, 1: 5, 2: 7, 3: 2, 4: 2}",0
40,False,"{'a': 0.1, 'e': 0.9801986733067553}",35,0,-95.72760817119006,"{0: 24, 1: 3, 2: 6, 3: 2, 4: 0}",0
41,False,"{'a': 0.1, 'e': 0.9797086964745179}",20,0,-130.3194927233541,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
42,False,"{'a': 0.1, 'e': 0.9792189645694596}",30,0,-263.73994249808993,"{0: 13, 1: 6, 2: 6, 3: 1, 4: 4}",0
43,False,"{'a': 0.1, 'e': 0.9787294774691476}",30,0,-149.05287532775733,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
44,False,"{'a': 0.1, 'e': 0.97824023505121}",25,0,-104.52466088586694,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
45,False,"{'a': 0.1, 'e': 0.9777512371933363}",25,0,-97.14776388578831,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
46,False,"{'a': 0.1, 'e': 0.9772624837732771}",20,0,-199.25738587565456,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
47,False,"{'a': 0.1, 'e': 0.9767739746688439}",20,0,-117.77572840055754,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
48,False,"{'a': 0.1, 'e': 0.9762857097579093}",25,0,-203.04555183565662,"{0: 14, 1: 4, 2: 2, 3: 1, 4: 4}",0
49,False,"{'a': 0.1, 'e': 0.9757976889184073}",25,0,-118.83420401154254,"{0: 16, 1: 3, 2: 2, 3: 3, 4: 1}",0
50,False,"{'a': 0.1, 'e': 0.9753099120283326}",20,0,-67.6061502880486,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
51,False,"{'a': 0.1, 'e': 0.9748223789657411}",25,0,-66.55366095265492,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
52,False,"{'a': 0.1, 'e': 0.9743350896087494}",35,0,-126.71901600327541,"{0: 23, 1: 4, 2: 5, 3: 2, 4: 1}",0
