trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,-31,-324.5076174864018,"{0: 31, 1: 6, 2: 12, 3: 3, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-100,-375.7557426789878,"{0: 84, 1: 12, 2: 15, 3: 4, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-100,-515.9406677667033,"{0: 77, 1: 12, 2: 19, 3: 5, 4: 7}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,-100,-755.29800396763,"{0: 64, 1: 16, 2: 25, 3: 4, 4: 11}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,-100,-709.3914770495377,"{0: 76, 1: 13, 2: 25, 3: 7, 4: 9}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,-10,-74.34297690054792,"{0: 30, 1: 2, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,-100,-711.4416053949977,"{0: 69, 1: 14, 2: 28, 3: 5, 4: 9}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,-100,-708.094679335199,"{0: 67, 1: 14, 2: 26, 3: 3, 4: 10}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-100,-509.14704668241416,"{0: 72, 1: 13, 2: 23, 3: 8, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,-100,-692.0378651838454,"{0: 78, 1: 13, 2: 23, 3: 7, 4: 9}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,-100,-788.0506715961177,"{0: 74, 1: 14, 2: 25, 3: 5, 4: 12}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,-100,-693.6892868117475,"{0: 69, 1: 15, 2: 28, 3: 4, 4: 9}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,-2,-90.11336472687178,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-33,-195.2708785066573,"{0: 35, 1: 7, 2: 6, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,-100,-567.3029681640785,"{0: 70, 1: 12, 2: 27, 3: 5, 4: 6}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,-100,-592.3731252770149,"{0: 68, 1: 15, 2: 27, 3: 3, 4: 7}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,-37,-411.83127950305334,"{0: 31, 1: 9, 2: 20, 3: 4, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-22,-212.91904111367023,"{0: 26, 1: 6, 2: 4, 3: 3, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-100,-517.2540843770909,"{0: 67, 1: 18, 2: 27, 3: 3, 4: 5}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,-100,-551.419296854938,"{0: 75, 1: 16, 2: 24, 3: 3, 4: 7}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,-55,-422.32425087511456,"{0: 45, 1: 14, 2: 11, 3: 5, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,-100,-932.7440488089067,"{0: 65, 1: 18, 2: 30, 3: 3, 4: 14}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-100,-570.2088275232138,"{0: 76, 1: 12, 2: 19, 3: 4, 4: 9}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,7,-72.16394120132335,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,-95,-613.0108284840746,"{0: 71, 1: 10, 2: 27, 3: 4, 4: 8}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,-100,-827.2010746309147,"{0: 59, 1: 21, 2: 24, 3: 4, 4: 12}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,-22,-175.45093414954374,"{0: 29, 1: 4, 2: 5, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,-53,-449.97661559315407,"{0: 53, 1: 9, 2: 17, 3: 2, 4: 7}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-66,-387.76684111407616,"{0: 52, 1: 7, 2: 21, 3: 1, 4: 5}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,-33,-294.79719726101786,"{0: 32, 1: 6, 2: 5, 3: 7, 4: 3}",0
